closes,dates,volumes
430.941,2016-04-16 01:00:00.000,743886906.6097462
428.027,2016-04-17 01:00:00.000,528907575.42346233
428.5059999999998,2016-04-18 01:00:00.000,549297574.322777
436.37,2016-04-19 01:00:00.000,674540887.3072404
441.916,2016-04-20 01:00:00.000,1101674781.4135215
451.0830000000002,2016-04-21 01:00:00.000,1340299673.3017693
447.488,2016-04-22 01:00:00.000,1244399315.4240894
451.818,2016-04-23 01:00:00.000,835075482.691219
459.9229999999999,2016-04-24 01:00:00.000,1609960186.8384228
460.4659999999999,2016-04-25 01:00:00.000,1607304204.3566065
467.8559999999999,2016-04-26 01:00:00.000,1278134938.8701427
444.789,2016-04-27 01:00:00.000,1344104894.4750998
449.3809999999999,2016-04-28 01:00:00.000,1497339511.3554573
456.5660000000001,2016-04-29 01:00:00.000,683291625.3521613
447.90299999999985,2016-04-30 01:00:00.000,577836728.8566968
452.592,2016-05-01 01:00:00.000,394606185.83971006
444.488,2016-05-02 01:00:00.000,679795242.3567172
450.3,2016-05-03 01:00:00.000,460396814.0834587
447.119,2016-05-04 01:00:00.000,430680620.3166514
448.9219999999999,2016-05-05 01:00:00.000,547921245.8399001
461.6200000000001,2016-05-06 01:00:00.000,892002595.4498556
459.2479999999998,2016-05-07 01:00:00.000,418352341.33987755
459.283,2016-05-08 01:00:00.000,640880145.1265181
461.74700000000007,2016-05-09 01:00:00.000,892533004.1713158
450.3259999999999,2016-05-10 01:00:00.000,1121093826.6093578
452.179,2016-05-11 01:00:00.000,672525013.6120929
454.7310000000001,2016-05-12 01:00:00.000,697010377.0856366
456.0070000000001,2016-05-13 01:00:00.000,489812072.3694577
455.5030000000001,2016-05-14 01:00:00.000,540603400.5013363
457.837,2016-05-15 01:00:00.000,514727783.64522
454.893,2016-05-16 01:00:00.000,649625052.453777
452.422,2016-05-17 01:00:00.000,456208618.5701116
453.3710000000001,2016-05-18 01:00:00.000,382814029.8745019
440.5389999999998,2016-05-19 01:00:00.000,626926267.8026723
441.888,2016-05-20 01:00:00.000,644225134.6638312
443.1469999999999,2016-05-21 01:00:00.000,382669886.1311476
438.6750000000001,2016-05-22 01:00:00.000,369986913.3520583
443.175,2016-05-23 01:00:00.000,378979422.05785537
445.769,2016-05-24 01:00:00.000,423917608.1376983
449.0549999999999,2016-05-25 01:00:00.000,593928754.5793718
453.73199999999997,2016-05-26 01:00:00.000,772901620.2200116
473.8640000000001,2016-05-27 01:00:00.000,1609915743.8194053
